,nct_id,documents
12,NCT00988052,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 25, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/52/NCT00988052/Prot_SAP_000.pdf""}"
13,NCT01038778,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""May 29, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/78/NCT01038778/Prot_SAP_000.pdf""}"
14,NCT01042015,"{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""April 26, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/15/NCT01042015/Prot_000.pdf""}"
15,NCT01077154,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""October 17, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/54/NCT01077154/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan: SAP 3.0"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 15, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/54/NCT01077154/SAP_001.pdf""}, {""document_type"": ""Statistical Analysis Plan: SAP 3.0 Addendum"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 26, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/54/NCT01077154/SAP_002.pdf""}]"
16,NCT01185171,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 20, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/71/NCT01185171/Prot_SAP_000.pdf""}"
17,NCT01191840,"[{""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""December 12, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/40/NCT01191840/SAP_000.pdf""}, {""document_type"": ""Study Protocol: Amendment 4"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""November 5, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/40/NCT01191840/Prot_001.pdf""}, {""document_type"": ""Informed Consent Form: Amendment 4 ICF"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""Yes"", ""document_has_sap"": ""No"", ""document_date"": ""November 5, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/40/NCT01191840/ICF_002.pdf""}]"
18,NCT01203722,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 4, 2020"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/22/NCT01203722/Prot_SAP_001.pdf""}"
19,NCT01205776,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""February 8, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/76/NCT01205776/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 26, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/76/NCT01205776/SAP_001.pdf""}]"
20,NCT01211288,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""August 30, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/88/NCT01211288/Prot_SAP_000.pdf""}"
21,NCT01236547,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 6, 2020"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/47/NCT01236547/Prot_SAP_000.pdf""}"
22,NCT01237951,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""June 5, 2015"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/51/NCT01237951/Prot_SAP_000.pdf""}"
23,NCT01312779,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 11, 2011"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/79/NCT01312779/Prot_SAP_000.pdf""}"
24,NCT01364467,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""February 25, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/67/NCT01364467/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 25, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/67/NCT01364467/SAP_001.pdf""}]"
25,NCT01371825,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""January 5, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/25/NCT01371825/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 7, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/25/NCT01371825/SAP_001.pdf""}]"
26,NCT01393717,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 1, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/17/NCT01393717/Prot_SAP_000.pdf""}"
27,NCT01407952,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""September 4, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/52/NCT01407952/Prot_SAP_000.pdf""}"
28,NCT01413178,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""December 14, 2015"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/78/NCT01413178/Prot_SAP_000.pdf""}"
29,NCT01445171,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""September 15, 2011"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/71/NCT01445171/Prot_SAP_000.pdf""}"
30,NCT01465841,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 10, 2011"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/41/NCT01465841/Prot_SAP_000.pdf""}"
31,NCT01493778,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""September 21, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/78/NCT01493778/Prot_SAP_000.pdf""}"
32,NCT01529060,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""October 16, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/60/NCT01529060/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""October 16, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/60/NCT01529060/SAP_001.pdf""}]"
33,NCT01539291,"[{""document_type"": ""Study Protocol: Original"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""January 23, 2012"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_000.pdf""}, {""document_type"": ""Study Protocol: Amendment 1"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""January 23, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_001.pdf""}, {""document_type"": ""Study Protocol: Amendment 2"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""September 10, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_002.pdf""}, {""document_type"": ""Study Protocol: Amendment 3"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""December 16, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_003.pdf""}, {""document_type"": ""Study Protocol: Amendment 4"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""May 27, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_004.pdf""}, {""document_type"": ""Study Protocol: Amendment 5"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""October 10, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_005.pdf""}, {""document_type"": ""Study Protocol: Amendment 6"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""March 28, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_006.pdf""}, {""document_type"": ""Study Protocol: Amendment 7"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""August 5, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_007.pdf""}, {""document_type"": ""Statistical Analysis Plan: Blinded"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 4, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/SAP_008.pdf""}, {""document_type"": ""Statistical Analysis Plan: Open Label"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 26, 2015"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/SAP_009.pdf""}, {""document_type"": ""Study Protocol: Amendment 8"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""October 24, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_010.pdf""}, {""document_type"": ""Study Protocol: Amendment 9"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""September 21, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01539291/Prot_011.pdf""}]"
34,NCT01551420,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""June 16, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/20/NCT01551420/Prot_SAP_000.pdf""}"
35,NCT01553188,"{""document_type"": ""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""Yes"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 18, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/88/NCT01553188/Prot_SAP_ICF_000.pdf""}"
36,NCT01557790,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""May 13, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/90/NCT01557790/Prot_SAP_000.pdf""}"
37,NCT01561053,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""February 21, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/53/NCT01561053/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""July 31, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/53/NCT01561053/SAP_001.pdf""}]"
38,NCT01567891,"[{""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 7, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01567891/SAP_000.pdf""}, {""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""February 7, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/91/NCT01567891/Prot_001.pdf""}]"
39,NCT01573533,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""May 30, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/33/NCT01573533/Prot_SAP_000.pdf""}"
40,NCT01599793,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""August 13, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/93/NCT01599793/Prot_SAP_000.pdf""}"
41,NCT01624142,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""December 2, 2015"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/42/NCT01624142/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""May 26, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/42/NCT01624142/SAP_001.pdf""}]"
42,NCT01647581,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""September 1, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/81/NCT01647581/Prot_SAP_000.pdf""}"
43,NCT01681589,"{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""May 6, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/89/NCT01681589/Prot_000.pdf""}"
44,NCT01696877,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 30, 2012"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/77/NCT01696877/Prot_SAP_000.pdf""}"
45,NCT01740258,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 9, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/58/NCT01740258/Prot_SAP_000.pdf""}"
46,NCT01753193,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""February 12, 2015"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/93/NCT01753193/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""October 26, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/93/NCT01753193/SAP_001.pdf""}]"
47,NCT01755767,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 15, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/67/NCT01755767/Prot_SAP_000.pdf""}"
48,NCT01758523,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""April 10, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/23/NCT01758523/Prot_SAP_000.pdf""}"
49,NCT01790503,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""December 14, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/03/NCT01790503/Prot_SAP_000.pdf""}"
50,NCT01793610,"[{""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 26, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/10/NCT01793610/SAP_000.pdf""}, {""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""August 15, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/10/NCT01793610/Prot_001.pdf""}]"
51,NCT01824290,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""December 13, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/90/NCT01824290/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 28, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/90/NCT01824290/SAP_001.pdf""}]"
52,NCT01827163,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""March 28, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/63/NCT01827163/Prot_SAP_000.pdf""}"
53,NCT01832402,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 5, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/02/NCT01832402/Prot_SAP_000.pdf""}"
54,NCT01834911,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""May 25, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/11/NCT01834911/Prot_SAP_000.pdf""}"
55,NCT01842308,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""September 27, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/08/NCT01842308/Prot_SAP_000.pdf""}"
56,NCT01852045,"[{""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 12, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/45/NCT01852045/SAP_000.pdf""}, {""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""September 27, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/45/NCT01852045/Prot_001.pdf""}]"
57,NCT01859923,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""February 28, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/23/NCT01859923/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""July 3, 2019"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/23/NCT01859923/SAP_001.pdf""}]"
