,nct_id,version_date,document_type,document_date,upload_date,no_sap
65,NCT01599793,2018-01-31,Study Protocol and Statistical Analysis Plan,"August 13, 2013",01/31/2018 12:00,
66,NCT01624142,2019-01-25,Study Protocol,"December 2, 2015",12/14/2018 12:04,
67,NCT01624142,2019-01-25,Statistical Analysis Plan,"May 26, 2018",12/14/2018 12:04,
68,NCT01647581,2019-09-24,Study Protocol and Statistical Analysis Plan,"September 1, 2018",08/08/2019 11:57,
69,NCT01681589,2020-08-06,Study Protocol,"May 6, 2019",08/05/2020 10:14,No Statistical Analysis Plan (SAP) exists for this study.
70,NCT01696877,2018-10-31,Study Protocol and Statistical Analysis Plan,"November 30, 2012",09/28/2018 08:56,
71,NCT01740258,2020-11-06,Study Protocol and Statistical Analysis Plan,"March 9, 2016",10/30/2020 09:09,
72,NCT01753193,2019-07-11,Study Protocol,"February 12, 2015",07/11/2019 09:39,
73,NCT01753193,2019-07-11,Statistical Analysis Plan,"October 26, 2017",07/11/2019 09:44,
74,NCT01755767,2020-06-30,Study Protocol and Statistical Analysis Plan,"March 15, 2016",06/10/2020 22:52,
75,NCT01758523,2019-04-11,Study Protocol and Statistical Analysis Plan,"April 10, 2017",02/20/2019 16:13,
76,NCT01790503,2019-09-18,Study Protocol and Statistical Analysis Plan,"December 14, 2017",08/22/2019 16:20,
77,NCT01793610,2020-09-18,Statistical Analysis Plan,"February 26, 2016",06/19/2020 19:00,
78,NCT01793610,2020-09-18,Study Protocol,"August 15, 2014",08/13/2020 14:05,
79,NCT01824290,2020-03-06,Study Protocol,"December 13, 2018",12/17/2019 12:10,
80,NCT01824290,2020-03-06,Statistical Analysis Plan,"March 28, 2019",12/17/2019 12:11,
81,NCT01827163,2019-12-04,Study Protocol and Statistical Analysis Plan,"March 28, 2017",12/03/2019 11:59,
82,NCT01832402,2020-08-18,Study Protocol and Statistical Analysis Plan,"November 5, 2013",07/31/2020 11:24,
83,NCT01834911,2018-03-29,Study Protocol and Statistical Analysis Plan,"May 25, 2016",03/29/2018 11:22,
84,NCT01842308,2020-08-18,Study Protocol and Statistical Analysis Plan,"September 27, 2018",06/25/2019 12:43,
85,NCT01852045,2019-10-11,Statistical Analysis Plan,"November 12, 2018",10/11/2019 18:07,
86,NCT01852045,2019-10-11,Study Protocol,"September 27, 2017",10/11/2019 18:07,
87,NCT01859923,2020-10-29,Study Protocol,"February 28, 2019",10/22/2020 09:06,
88,NCT01859923,2020-10-29,Statistical Analysis Plan,"July 3, 2019",10/22/2020 09:07,
89,NCT01873495,2019-09-05,Study Protocol and Statistical Analysis Plan,"January 14, 2017",08/09/2019 15:10,
90,NCT01873495,2019-09-05,Informed Consent Form,"March 30, 2017",08/09/2019 15:13,
91,NCT01877655,2018-11-01,Study Protocol,"October 28, 2016",09/17/2018 15:56,
92,NCT01877655,2018-11-01,Statistical Analysis Plan,"May 19, 2017",09/17/2018 15:57,
93,NCT01898130,2019-03-29,Study Protocol and Statistical Analysis Plan,"February 6, 2019",03/25/2019 14:20,
94,NCT01905592,2020-08-10,Statistical Analysis Plan,"January 24, 2017",12/17/2019 10:57,
95,NCT01905592,2020-08-10,Study Protocol,"January 13, 2017",12/17/2019 11:08,
96,NCT01915498,2020-10-01,Statistical Analysis Plan,"October 4, 2019",07/24/2020 13:53,
97,NCT01915498,2020-10-01,Study Protocol,"October 17, 2017",07/29/2020 11:17,
98,NCT01932996,2020-11-17,Study Protocol and Statistical Analysis Plan,"November 15, 2017",08/31/2020 14:29,
99,NCT01932996,2020-11-17,Informed Consent Form,"April 17, 2017",08/31/2020 14:31,
100,NCT01936519,2020-12-17,Study Protocol and Statistical Analysis Plan,"January 7, 2020",09/30/2020 08:52,
101,NCT01946880,2020-08-14,Statistical Analysis Plan,"November 14, 2019",07/01/2020 13:42,
102,NCT01946880,2020-08-14,Study Protocol,"April 7, 2015",07/02/2020 17:33,
103,NCT01956669,2020-07-27,Study Protocol,"May 23, 2017",05/04/2020 06:29,
104,NCT01956669,2020-07-27,Statistical Analysis Plan,"December 24, 2019",05/04/2020 06:29,
105,NCT01962103,2018-12-05,Study Protocol,"July 13, 2016",12/05/2018 16:32,
106,NCT01962103,2018-12-05,Statistical Analysis Plan,"January 12, 2018",12/05/2018 16:34,
107,NCT01967537,2019-03-14,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","October 31, 2017",12/19/2018 13:56,
108,NCT01972074,2019-09-09,Study Protocol and Statistical Analysis Plan,"March 14, 2018",08/01/2019 17:41,
109,NCT01978236,2018-07-20,Study Protocol,"April 15, 2015",01/12/2018 15:30,
110,NCT01978236,2018-07-20,Statistical Analysis Plan,"April 8, 2017",01/12/2018 15:31,
111,NCT01979523,2020-02-14,Study Protocol and Statistical Analysis Plan,"December 1, 2016",01/17/2019 14:38,
112,NCT01981122,2018-08-24,Study Protocol,"May 16, 2013",06/13/2018 12:45,
113,NCT01981122,2018-08-24,Statistical Analysis Plan,"July 26, 2017",06/14/2018 13:54,
114,NCT01983293,2019-02-15,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","August 19, 2013",02/14/2019 18:05,
115,NCT02013674,2020-01-21,Study Protocol and Statistical Analysis Plan,"June 9, 2016",05/29/2018 16:28,
116,NCT02014740,2018-03-21,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","December 5, 2017",02/20/2018 12:21,
117,NCT02015104,2020-01-10,Study Protocol and Statistical Analysis Plan,"February 13, 2018",03/29/2019 08:18,
118,NCT02015104,2020-01-10,Informed Consent Form,"May 8, 2018",03/29/2019 08:18,
119,NCT02019758,2019-04-03,Study Protocol and Statistical Analysis Plan,"March 14, 2019",04/03/2019 08:54,
120,NCT02028884,2020-12-07,Study Protocol,"April 10, 2020",09/11/2020 14:15,
121,NCT02028884,2020-12-07,Statistical Analysis Plan,"April 20, 2018",09/11/2020 14:15,
122,NCT02038179,2020-02-12,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","April 12, 2018",01/03/2020 15:25,
123,NCT02038881,2020-03-20,Study Protocol,"November 18, 2014",01/22/2020 14:47,
124,NCT02038881,2020-03-20,Statistical Analysis Plan,"May 5, 2015",01/22/2020 14:56,
125,NCT02047344,2019-12-11,Study Protocol,"December 6, 2017",09/04/2019 01:53,
126,NCT02047344,2019-12-11,Statistical Analysis Plan,"August 8, 2014",09/04/2019 01:57,
127,NCT02050841,2019-03-21,Study Protocol,"November 19, 2016",01/07/2019 07:52,
128,NCT02050841,2019-03-21,Statistical Analysis Plan,"December 1, 2017",01/07/2019 07:53,
129,NCT02052141,2018-08-03,Study Protocol,"January 26, 2015",04/24/2018 04:38,
130,NCT02052141,2018-08-03,Statistical Analysis Plan,"May 25, 2017",04/24/2018 04:39,
131,NCT02057458,2020-04-23,Study Protocol and Statistical Analysis Plan,"January 27, 2014",04/03/2020 12:15,
132,NCT02060383,2019-05-07,Study Protocol,"March 17, 2017",02/28/2019 14:04,
133,NCT02060383,2019-05-07,Statistical Analysis Plan,"June 25, 2018",02/28/2019 14:04,
134,NCT02061774,2020-04-13,Study Protocol and Statistical Analysis Plan,"August 14, 2013",03/11/2020 11:42,
135,NCT02066181,2019-08-28,Study Protocol and Statistical Analysis Plan,"December 18, 2018",03/19/2019 10:04,
136,NCT02081391,2020-01-15,Study Protocol,"March 24, 2017",09/11/2019 06:35,
137,NCT02081391,2020-01-15,Statistical Analysis Plan,"July 6, 2018",09/11/2019 06:36,
138,NCT02090725,2019-05-01,Study Protocol,"September 23, 2008",03/21/2019 14:15,No Statistical Analysis Plan (SAP) exists for this study.
139,NCT02090959,2020-08-10,Study Protocol,"November 19, 2015",07/17/2020 15:17,
140,NCT02090959,2020-08-10,Statistical Analysis Plan,"January 23, 2019",07/17/2020 15:17,
141,NCT02092324,2020-10-22,Study Protocol and Statistical Analysis Plan,"December 7, 2017",08/13/2020 17:01,
142,NCT02096952,2018-02-21,Study Protocol and Statistical Analysis Plan,"December 9, 2016",01/24/2018 11:39,
143,NCT02096952,2018-02-21,Informed Consent Form,"May 30, 2017",01/24/2018 11:43,
144,NCT02097420,2020-12-09,Study Protocol and Statistical Analysis Plan,"December 12, 2018",12/08/2020 17:31,
145,NCT02112877,2019-07-09,Study Protocol and Statistical Analysis Plan,"November 6, 2015",05/22/2019 15:34,
146,NCT02118610,2020-03-24,Study Protocol and Statistical Analysis Plan,"May 17, 2018",02/26/2020 14:38,
147,NCT02138136,2020-01-10,Study Protocol and Statistical Analysis Plan,"November 23, 2015",12/13/2019 11:40,
148,NCT02139358,2018-06-25,Study Protocol and Statistical Analysis Plan,"November 14, 2013",06/25/2018 11:30,
149,NCT02147990,2020-07-28,Study Protocol,"August 16, 2016",07/17/2020 08:02,
150,NCT02147990,2020-07-28,Statistical Analysis Plan,"June 12, 2015",07/17/2020 08:04,
151,NCT02151383,2019-06-01,Study Protocol,"September 30, 2016",09/27/2017 13:49,
152,NCT02151383,2019-06-01,Statistical Analysis Plan,"August 9, 2018",04/24/2019 14:00,
153,NCT02153918,2018-09-12,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","May 5, 2017",04/12/2018 07:28,
154,NCT02160808,2020-03-19,Study Protocol and Statistical Analysis Plan,"November 22, 2019",02/20/2020 13:56,
155,NCT02163577,2019-04-29,Study Protocol,"May 8, 2017",04/29/2019 13:03,
156,NCT02163577,2019-04-29,Statistical Analysis Plan,"April 26, 2016",04/29/2019 13:04,
157,NCT02167074,2020-03-12,Study Protocol,"October 13, 2014",08/04/2018 01:18,
158,NCT02167074,2020-03-12,Statistical Analysis Plan,"October 13, 2014",02/24/2020 04:21,
159,NCT02167451,2020-03-02,Study Protocol and Statistical Analysis Plan,"March 23, 2018",09/10/2019 07:55,
160,NCT02178709,2020-01-16,Study Protocol and Statistical Analysis Plan,"October 2, 2019",01/16/2020 09:07,
161,NCT02189889,2020-10-21,Study Protocol and Statistical Analysis Plan,"May 13, 2019",09/24/2020 09:16,
162,NCT02194699,2018-02-23,Study Protocol,"June 9, 2017",02/23/2018 04:58,
163,NCT02194699,2018-02-23,Statistical Analysis Plan,"October 16, 2017",02/23/2018 04:58,
164,NCT02197767,2019-01-16,Study Protocol and Statistical Analysis Plan,"March 7, 2016",01/15/2019 11:20,
165,NCT02211313,2019-04-30,Study Protocol and Statistical Analysis Plan,"April 5, 2017",04/01/2019 13:16,
166,NCT02217527,2018-07-16,Study Protocol and Statistical Analysis Plan,"May 1, 2018",06/18/2018 09:39,
167,NCT02219334,2020-09-01,Study Protocol and Statistical Analysis Plan,"October 11, 2019",05/18/2020 00:16,
168,NCT02225106,2019-11-13,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","February 20, 2016",08/23/2019 15:40,
169,NCT02226159,2020-09-25,Study Protocol and Statistical Analysis Plan,"April 17, 2015",09/01/2020 17:19,
170,NCT02229227,2018-06-01,Study Protocol,"September 24, 2015",03/06/2018 02:08,
171,NCT02229227,2018-06-01,Statistical Analysis Plan,"September 7, 2017",05/31/2018 22:51,
172,NCT02242487,2019-07-10,Study Protocol,"December 7, 2016",06/12/2019 10:21,
173,NCT02242487,2019-07-10,Statistical Analysis Plan,"June 29, 2017",06/12/2019 10:22,
174,NCT02245308,2019-03-06,Study Protocol and Statistical Analysis Plan,"July 21, 2017",01/30/2019 13:09,
175,NCT02247804,2020-04-03,Statistical Analysis Plan,"April 19, 2018",04/03/2020 20:54,
176,NCT02247804,2020-04-03,Study Protocol,"March 16, 2017",04/03/2020 20:54,
177,NCT02250092,2020-08-06,Study Protocol and Statistical Analysis Plan,"May 9, 2017",07/06/2020 09:03,
178,NCT02253992,2020-09-10,Statistical Analysis Plan,"July 18, 2016",05/19/2020 09:45,
179,NCT02253992,2020-09-10,Study Protocol,"March 22, 2017",05/19/2020 09:45,
180,NCT02257541,2020-03-16,Study Protocol and Statistical Analysis Plan,"January 24, 2017",02/13/2020 14:21,
181,NCT02265965,2020-05-06,Study Protocol and Statistical Analysis Plan,"October 19, 2017",04/07/2020 15:20,
182,NCT02276482,2019-07-12,Study Protocol and Statistical Analysis Plan,"February 26, 2018",07/12/2019 08:48,
183,NCT02294175,2020-03-24,Study Protocol and Statistical Analysis Plan,"August 3, 2018",11/26/2019 11:48,
184,NCT02296242,2018-08-06,Study Protocol,"November 18, 2015",06/27/2018 11:02,
185,NCT02296242,2018-08-06,Statistical Analysis Plan,"December 21, 2017",06/27/2018 11:03,
186,NCT02301039,2020-09-25,Study Protocol and Statistical Analysis Plan,"January 9, 2020",07/08/2020 13:52,
187,NCT02307682,2019-10-08,Study Protocol,"August 7, 2017",03/18/2019 16:43,
188,NCT02307682,2019-10-08,Statistical Analysis Plan,"June 12, 2017",03/18/2019 16:44,
189,NCT02322814,2019-10-24,Study Protocol and Statistical Analysis Plan,"October 25, 2018",10/09/2019 13:34,
190,NCT02334306,2019-02-27,Statistical Analysis Plan,"September 25, 2017",01/16/2019 02:55,
191,NCT02334306,2019-02-27,Study Protocol,"October 24, 2017",01/16/2019 02:55,
192,NCT02337907,2018-10-18,Statistical Analysis Plan,"June 13, 2017",08/29/2018 05:37,
193,NCT02337907,2018-10-18,Study Protocol,"February 23, 2017",08/29/2018 05:37,
194,NCT02340650,2017-12-01,Study Protocol and Statistical Analysis Plan,"March 14, 2017",11/30/2017 14:23,
195,NCT02343263,2018-08-04,Study Protocol and Statistical Analysis Plan,"July 16, 2015",03/01/2018 12:09,
196,NCT02344225,2020-04-21,Study Protocol and Statistical Analysis Plan,"June 7, 2017",03/01/2020 21:02,
197,NCT02346708,2020-12-08,Study Protocol and Statistical Analysis Plan,"October 23, 2015",03/20/2020 12:37,
198,NCT02348593,2019-07-21,Study Protocol,"February 8, 2016",04/19/2019 12:43,
199,NCT02348593,2019-07-21,Statistical Analysis Plan,"March 2, 2017",04/19/2019 12:45,
200,NCT02364999,2018-05-31,Statistical Analysis Plan,"March 28, 2017",05/07/2018 09:08,
201,NCT02364999,2018-05-31,Study Protocol,"June 10, 2016",05/07/2018 09:21,
202,NCT02367794,2019-10-21,Study Protocol,"October 24, 2018",09/25/2019 13:06,
203,NCT02367794,2019-10-21,Statistical Analysis Plan,"January 11, 2018",09/25/2019 13:06,
204,NCT02407457,2020-09-01,Study Protocol,"January 7, 2015",08/28/2019 14:55,
205,NCT02407457,2020-09-01,Statistical Analysis Plan,"February 24, 2020",02/26/2020 11:20,
206,NCT02416102,2020-08-07,Study Protocol and Statistical Analysis Plan,"February 1, 2019",07/20/2020 12:44,
207,NCT02420015,2019-06-19,Study Protocol and Statistical Analysis Plan,"January 24, 2018",06/19/2019 15:11,
208,NCT02426658,2020-03-04,Study Protocol and Statistical Analysis Plan,"April 13, 2017",11/01/2019 14:38,
209,NCT02428296,2020-01-10,Study Protocol and Statistical Analysis Plan,"October 4, 2018",09/05/2019 15:40,
210,NCT02434328,2019-10-08,Study Protocol,"February 10, 2017",01/24/2019 12:49,
211,NCT02434328,2019-10-08,Statistical Analysis Plan,"May 19, 2017",01/24/2019 12:50,
212,NCT02443298,2019-03-18,Study Protocol,"August 17, 2017",02/26/2019 09:35,
213,NCT02443298,2019-03-18,Statistical Analysis Plan,"October 26, 2017",02/26/2019 09:35,
214,NCT02452398,2020-10-15,Study Protocol and Statistical Analysis Plan,"March 3, 2015",04/09/2018 09:13,
215,NCT02462759,2020-01-24,Statistical Analysis Plan,"July 16, 2018",09/18/2019 08:01,
216,NCT02462759,2020-01-24,Study Protocol,"June 16, 2017",09/24/2019 02:58,
217,NCT02472314,2019-03-25,Study Protocol and Statistical Analysis Plan,"April 14, 2015",01/27/2019 00:27,
218,NCT02484443,2020-05-21,Study Protocol and Statistical Analysis Plan,"May 22, 2017",05/20/2020 08:01,
219,NCT02496884,2020-09-16,Study Protocol and Statistical Analysis Plan,"March 14, 2017",09/16/2020 14:06,
220,NCT02497937,2018-08-07,Study Protocol,"April 19, 2016",03/23/2018 01:33,
221,NCT02497937,2018-08-07,Statistical Analysis Plan,"October 18, 2017",06/21/2018 02:21,
222,NCT02500706,2018-07-16,Study Protocol,"March 13, 2018",07/16/2018 02:13,
223,NCT02500706,2018-07-16,Statistical Analysis Plan,"March 13, 2018",07/16/2018 02:13,
224,NCT02503332,2020-09-14,Study Protocol,"May 1, 2017",07/31/2020 12:31,
225,NCT02503332,2020-09-14,Statistical Analysis Plan,"January 29, 2018",07/31/2020 12:36,
226,NCT02504645,2019-04-10,Study Protocol,"June 1, 2016",02/12/2019 12:46,
227,NCT02504645,2019-04-10,Statistical Analysis Plan,"March 28, 2018",02/12/2019 12:48,
228,NCT02505945,2018-11-15,Study Protocol and Statistical Analysis Plan,"June 8, 2015",11/15/2018 16:55,
229,NCT02514824,2020-12-03,Study Protocol,"March 18, 2016",12/03/2020 11:16,No Statistical Analysis Plan (SAP) exists for this study.
230,NCT02516046,2020-09-03,Study Protocol,"December 18, 2017",06/27/2020 14:08,
231,NCT02516046,2020-09-03,Statistical Analysis Plan,"August 15, 2018",06/27/2020 14:09,
232,NCT02518685,2019-07-15,Study Protocol and Statistical Analysis Plan,"November 15, 2016",04/20/2019 16:23,
233,NCT02520518,2018-11-16,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","February 9, 2017",07/30/2018 16:00,
234,NCT02528318,2019-07-17,Statistical Analysis Plan,"May 13, 2015",04/26/2018 12:04,
235,NCT02528318,2019-07-17,Study Protocol,"September 2, 2015",04/26/2018 12:09,
236,NCT02530476,2020-03-18,Study Protocol and Statistical Analysis Plan,"July 14, 2016",02/05/2020 13:44,
237,NCT02531971,2020-03-23,Study Protocol and Statistical Analysis Plan,"February 1, 2018",09/11/2019 08:58,
238,NCT02535364,2018-06-22,Study Protocol,"July 14, 2016",04/23/2018 20:40,
239,NCT02535364,2018-06-22,Statistical Analysis Plan,"November 9, 2016",04/23/2018 20:45,
240,NCT02536833,2020-08-26,Study Protocol,"October 13, 2016",07/23/2020 16:45,
241,NCT02536833,2020-08-26,Statistical Analysis Plan,"October 14, 2016",07/23/2020 16:48,
242,NCT02538042,2018-10-15,Study Protocol and Statistical Analysis Plan,"April 18, 2016",08/17/2018 10:23,
243,NCT02554890,2019-09-03,Study Protocol,"October 5, 2017",07/19/2019 12:25,
244,NCT02554890,2019-09-03,Statistical Analysis Plan,"August 20, 2018",07/19/2019 12:25,
245,NCT02560389,2019-06-06,Study Protocol and Statistical Analysis Plan,"September 9, 2015",05/01/2019 11:34,
246,NCT02566083,2020-01-09,Study Protocol,"May 21, 2018",12/10/2019 04:25,
247,NCT02566083,2020-01-09,Statistical Analysis Plan,"June 24, 2015",12/10/2019 04:25,
248,NCT02581345,2018-09-10,Study Protocol,"August 4, 2016",05/14/2018 11:18,
249,NCT02581345,2018-09-10,Statistical Analysis Plan,"October 25, 2016",05/14/2018 11:19,
250,NCT02584504,2018-05-03,Study Protocol,"April 26, 2017",04/03/2018 17:31,
251,NCT02584504,2018-05-03,Statistical Analysis Plan,"June 17, 2016",04/03/2018 17:32,
252,NCT02586025,2018-12-10,Study Protocol,"December 6, 2016",10/22/2018 10:08,
253,NCT02586025,2018-12-10,Statistical Analysis Plan,"July 5, 2017",10/22/2018 10:08,
254,NCT02588261,2019-01-24,Study Protocol,"February 19, 2016",12/07/2018 14:15,
255,NCT02588261,2019-01-24,Statistical Analysis Plan,"August 11, 2016",12/07/2018 14:17,
256,NCT02592629,2018-08-08,Informed Consent Form,"February 8, 2016",06/20/2018 22:04,
257,NCT02592629,2018-08-08,Study Protocol and Statistical Analysis Plan,"February 8, 2016",06/20/2018 22:06,
258,NCT02597049,2018-03-27,Study Protocol: GBGE (a) Protocol,"August 21, 2015",02/02/2018 16:09,
259,NCT02597049,2018-03-27,Study Protocol: GBGE (b) Protocol,"March 28, 2016",02/02/2018 16:10,
260,NCT02597049,2018-03-27,Statistical Analysis Plan,"April 1, 2016",02/02/2018 16:11,
261,NCT02597933,2019-11-26,Study Protocol,"February 15, 2018",10/28/2019 12:44,
262,NCT02597933,2019-11-26,Statistical Analysis Plan,"July 26, 2018",10/28/2019 12:44,
263,NCT02603107,2020-12-07,Study Protocol: Original,"October 21, 2015",08/24/2018 17:03,
264,NCT02603107,2020-12-07,Study Protocol: Amendment 1,"February 19, 2016",08/24/2018 17:03,
265,NCT02603107,2020-12-07,Study Protocol: Amendment 2,"October 19, 2016",08/24/2018 17:03,
266,NCT02603107,2020-12-07,Statistical Analysis Plan: Week 48,"May 16, 2017",12/03/2020 11:31,
267,NCT02603107,2020-12-07,Statistical Analysis Plan: Final,"April 24, 2020",12/03/2020 11:33,
268,NCT02605447,2020-09-04,Study Protocol and Statistical Analysis Plan,"April 12, 2017",07/06/2020 04:10,
269,NCT02607228,2020-12-04,Study Protocol,"June 30, 2016",07/29/2020 06:10,
270,NCT02607228,2020-12-04,Statistical Analysis Plan,"November 21, 2019",07/29/2020 06:11,
271,NCT02610816,2018-06-22,Study Protocol,"July 28, 2016",06/05/2018 17:25,
272,NCT02610816,2018-06-22,Statistical Analysis Plan,"March 5, 2015",06/05/2018 17:26,
