nct_id,version_date,document_type,document_date,upload_date,no_sap
NCT01789268,01/07/2019,Informed Consent Form,"January 5, 2018",05/14/2019 11:06,
NCT01790295,28/02/2019,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","August 8, 2016",10/08/2018 11:00,
NCT01796392,08/02/2019,Statistical Analysis Plan,"October 26, 2017",09/06/2018 12:15,
NCT01796392,08/02/2019,Study Protocol,"June 23, 2017",09/06/2018 17:35,
NCT01808573,09/12/2019,Study Protocol,"February 13, 2014",09/24/2019 15:06,
NCT01808573,09/12/2019,Statistical Analysis Plan,"November 14, 2018",09/24/2019 15:10,
NCT01821729,27/08/2019,Study Protocol and Statistical Analysis Plan,"August 7, 2018",08/26/2019 20:55,
NCT01829997,27/03/2019,Study Protocol and Statistical Analysis Plan,"June 10, 2013",02/12/2019 14:13,
NCT01845792,31/05/2018,Study Protocol and Statistical Analysis Plan,"June 28, 2016",04/11/2018 11:30,
NCT01852292,24/06/2018,Statistical Analysis Plan,"April 22, 2016",03/30/2018 16:28,
NCT01852292,24/06/2018,Study Protocol,"August 30, 2016",03/30/2018 16:28,
NCT01923311,13/06/2018,Study Protocol,"April 25, 2013",03/23/2018 12:30,
NCT01923311,13/06/2018,Statistical Analysis Plan,"January 12, 2018",03/23/2018 12:31,
NCT01960348,07/08/2018,Study Protocol,"September 8, 2015",08/07/2018 12:06,
NCT01960348,07/08/2018,Statistical Analysis Plan,"August 23, 2017",08/07/2018 12:07,
NCT01967888,15/09/2019,Statistical Analysis Plan,"December 14, 2017",07/18/2019 12:56,
NCT01967888,15/09/2019,Study Protocol,"March 9, 2015",07/18/2019 13:03,
NCT01969851,02/05/2019,Statistical Analysis Plan,"March 6, 2018",04/09/2019 03:20,
NCT01969851,02/05/2019,Study Protocol,"February 26, 2015",05/02/2019 02:10,
NCT01971346,07/01/2019,Study Protocol and Statistical Analysis Plan,"March 29, 2016",01/07/2019 14:39,
NCT01975376,14/05/2018,Study Protocol,"February 12, 2016",03/14/2018 16:03,
NCT01975376,14/05/2018,Statistical Analysis Plan,"December 20, 2016",03/14/2018 16:03,
NCT01985763,18/04/2019,Study Protocol,"September 12, 2016",03/25/2019 16:44,
NCT01985763,18/04/2019,Statistical Analysis Plan,"September 27, 2013",03/25/2019 17:21,
NCT01987609,28/12/2018,Study Protocol and Statistical Analysis Plan,"March 20, 2017",10/15/2018 17:46,
NCT02010645,13/12/2019,Study Protocol and Statistical Analysis Plan,"December 13, 2013",12/13/2019 08:46,
NCT02017964,12/03/2019,Study Protocol and Statistical Analysis Plan,"January 6, 2017",03/12/2019 11:51,
NCT02029638,24/08/2018,Study Protocol,"March 28, 2016",03/30/2018 14:22,
NCT02029638,24/08/2018,Statistical Analysis Plan,"August 31, 2017",03/30/2018 14:23,
NCT02030847,28/08/2019,Study Protocol and Statistical Analysis Plan,"April 14, 2017",08/28/2019 12:35,
NCT02039908,27/08/2019,Study Protocol and Statistical Analysis Plan,"January 22, 2013",08/27/2019 09:54,
NCT02059213,25/01/2019,Study Protocol and Statistical Analysis Plan,"August 9, 2016",08/17/2018 10:28,
NCT02101021,10/07/2018,Study Protocol: Original,"February 11, 2014",05/30/2018 18:46,
NCT02101021,10/07/2018,Study Protocol: Amendment 1,"March 14, 2014",05/30/2018 18:47,
NCT02101021,10/07/2018,Study Protocol: Amendment 2,"August 25, 2014",05/30/2018 18:48,
NCT02101021,10/07/2018,Study Protocol: Amendment 3,"July 16, 2015",05/30/2018 18:49,
NCT02101021,10/07/2018,Statistical Analysis Plan,"July 10, 2017",05/30/2018 18:49,
NCT02115633,04/10/2018,Study Protocol and Statistical Analysis Plan,"April 5, 2016",07/09/2018 16:47,
NCT02120157,13/03/2018,Study Protocol and Statistical Analysis Plan,"April 20, 2017",10/30/2017 10:35,
NCT02138916,12/06/2019,Statistical Analysis Plan,"April 23, 2018",03/19/2019 10:15,
NCT02138916,12/06/2019,Study Protocol,"July 6, 2015",03/19/2019 10:15,
NCT02142283,18/07/2018,Study Protocol,"January 26, 2017",04/27/2018 12:06,
NCT02142283,18/07/2018,Statistical Analysis Plan,"May 11, 2017",05/14/2018 18:33,
NCT02147301,21/08/2019,Study Protocol and Statistical Analysis Plan,"January 13, 2015",04/03/2019 00:40,
NCT02153905,10/05/2019,Study Protocol and Statistical Analysis Plan,"May 21, 2018",04/11/2019 13:51,
NCT02153905,10/05/2019,Informed Consent Form,"May 31, 2018",04/11/2019 13:51,
NCT02158884,11/10/2019,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","August 31, 2015",12/13/2018 14:36,
NCT02160041,28/05/2019,Study Protocol,"January 30, 2017",04/22/2019 15:09,
NCT02160041,28/05/2019,Statistical Analysis Plan,"July 13, 2017",04/22/2019 15:10,
NCT02164864,27/07/2018,Study Protocol,"July 21, 2016",06/04/2018 06:47,
NCT02164864,27/07/2018,Statistical Analysis Plan,"June 9, 2017",06/05/2018 02:21,
NCT02175758,05/04/2019,Study Protocol: Original,"December 20, 2013",02/01/2019 12:42,
NCT02175758,05/04/2019,Study Protocol: Amendment 1,"February 10, 2014",02/01/2019 12:43,
NCT02175758,05/04/2019,Study Protocol: Amendment 2,"March 14, 2014",02/01/2019 12:44,
NCT02175758,05/04/2019,Study Protocol: Amendment 3,"October 10, 2014",02/01/2019 12:45,
NCT02175758,05/04/2019,Study Protocol: Amendment 4,"November 12, 2014",02/01/2019 12:46,
NCT02175758,05/04/2019,Study Protocol: Amendment 5,"May 29, 2015",02/01/2019 12:46,
NCT02175758,05/04/2019,Study Protocol: Amendment 6,"February 26, 2016",02/01/2019 12:47,
NCT02175758,05/04/2019,Statistical Analysis Plan,"May 24, 2018",02/01/2019 12:48,
NCT02181413,15/04/2019,Statistical Analysis Plan,"May 31, 2018",04/15/2019 12:42,
NCT02181413,15/04/2019,Study Protocol,"February 28, 2019",04/15/2019 12:42,
NCT02193867,29/10/2019,Study Protocol,"December 8, 2015",06/24/2019 21:40,
NCT02193867,29/10/2019,Statistical Analysis Plan,"July 31, 2018",06/24/2019 21:41,
NCT02196831,19/12/2019,Study Protocol and Statistical Analysis Plan,"June 17, 2019",11/22/2019 15:06,
NCT02199041,10/01/2018,Study Protocol and Statistical Analysis Plan: v. 0.0 - Initial,"February 26, 2014",08/14/2017 08:17,
NCT02199041,10/01/2018,Study Protocol and Statistical Analysis Plan: v. 0.1,"October 17, 2014",08/14/2017 08:22,
NCT02199041,10/01/2018,Study Protocol and Statistical Analysis Plan: v. 1.0,"May 4, 2016",08/14/2017 08:23,
NCT02199041,10/01/2018,Study Protocol and Statistical Analysis Plan: v. 2.0,"August 3, 2016",08/14/2017 08:23,
NCT02208037,02/01/2019,Study Protocol,"July 17, 2015",11/30/2018 16:19,
NCT02208037,02/01/2019,Statistical Analysis Plan,"November 9, 2016",11/30/2018 16:32,
NCT02211313,30/04/2019,Study Protocol and Statistical Analysis Plan,"April 5, 2017",04/01/2019 13:16,
NCT02232022,21/06/2019,Study Protocol and Statistical Analysis Plan,"July 16, 2014",03/11/2019 11:07,
NCT02246439,28/01/2019,Study Protocol,"June 9, 2016",11/20/2018 16:04,
NCT02246439,28/01/2019,Statistical Analysis Plan,"May 29, 2017",11/20/2018 16:25,
NCT02272413,26/12/2019,Study Protocol,"January 17, 2018",10/30/2019 09:09,
NCT02272413,26/12/2019,Statistical Analysis Plan,"November 13, 2018",10/30/2019 09:09,
NCT02286921,11/04/2019,Study Protocol,"February 27, 2017",01/09/2019 14:36,
NCT02286921,11/04/2019,Statistical Analysis Plan,"March 27, 2017",01/09/2019 14:37,
NCT02298933,12/12/2018,Study Protocol and Statistical Analysis Plan,"January 5, 2018",12/10/2018 17:44,
NCT02307682,08/10/2019,Study Protocol,"August 7, 2017",03/18/2019 16:43,
NCT02307682,08/10/2019,Statistical Analysis Plan,"June 12, 2017",03/18/2019 16:44,
NCT02316353,17/10/2018,Study Protocol,"July 10, 2015",09/18/2018 08:38,
NCT02316353,17/10/2018,Statistical Analysis Plan,"September 12, 2017",09/18/2018 08:39,
NCT02320825,31/01/2019,Study Protocol and Statistical Analysis Plan,"March 16, 2016",01/31/2019 12:57,
NCT02322333,23/07/2018,Study Protocol,"April 20, 2016",05/22/2018 10:47,
NCT02322333,23/07/2018,Statistical Analysis Plan,"June 29, 2017",05/22/2018 10:47,
NCT02324049,12/06/2018,Study Protocol,"January 21, 2016",06/12/2018 13:23,
NCT02324049,12/06/2018,Statistical Analysis Plan,"September 1, 2017",06/12/2018 13:24,
NCT02324842,19/04/2019,Study Protocol and Statistical Analysis Plan,"March 19, 2018",03/19/2019 16:37,
NCT02334306,27/02/2019,Statistical Analysis Plan,"September 25, 2017",01/16/2019 02:55,
NCT02334306,27/02/2019,Study Protocol,"October 24, 2017",01/16/2019 02:55,
NCT02354859,20/03/2019,Statistical Analysis Plan,"October 6, 2016",01/04/2019 13:18,
NCT02354859,20/03/2019,Study Protocol,"August 28, 2014",01/04/2019 13:20,
NCT02364336,01/08/2019,Study Protocol and Statistical Analysis Plan,"August 3, 2016",06/10/2019 13:28,
NCT02364999,31/05/2018,Statistical Analysis Plan,"March 28, 2017",05/07/2018 09:08,
NCT02364999,31/05/2018,Study Protocol,"June 10, 2016",05/07/2018 09:21,
NCT02369874,10/09/2019,Statistical Analysis Plan,"January 18, 2018",09/10/2019 17:19,
NCT02369874,10/09/2019,Study Protocol,"December 12, 2018",09/10/2019 17:19,
NCT02405091,29/11/2018,Study Protocol,"December 3, 2015",09/11/2018 16:54,
NCT02405091,29/11/2018,Statistical Analysis Plan,"April 5, 2016",09/11/2018 16:54,
NCT02414958,22/10/2018,Study Protocol,"January 4, 2017",10/21/2018 13:25,
NCT02414958,22/10/2018,Statistical Analysis Plan,"November 8, 2017",10/21/2018 13:25,
NCT02419612,18/10/2018,Study Protocol,"February 8, 2018",07/12/2018 04:21,
NCT02419612,18/10/2018,Statistical Analysis Plan,"September 29, 2017",07/12/2018 04:21,
NCT02420873,24/08/2018,Study Protocol,"July 16, 2015",02/15/2018 16:15,
NCT02420873,24/08/2018,Statistical Analysis Plan,"July 16, 2015",02/15/2018 16:26,
NCT02421354,23/04/2019,Study Protocol and Statistical Analysis Plan,"August 11, 2016",04/19/2019 13:31,
NCT02421939,16/10/2019,Study Protocol,"May 16, 2018",09/09/2019 10:03,
NCT02421939,16/10/2019,Statistical Analysis Plan,"September 27, 2018",09/09/2019 10:04,
NCT02426684,05/06/2019,Study Protocol and Statistical Analysis Plan,"August 24, 2016",12/27/2018 11:50,
NCT02442687,07/12/2018,Study Protocol,"March 2, 2016",08/23/2018 22:58,
NCT02442687,07/12/2018,Statistical Analysis Plan,"March 31, 2017",10/15/2018 08:49,
NCT02447887,25/09/2019,Study Protocol and Statistical Analysis Plan,"January 5, 2017",09/04/2019 15:39,
NCT02448537,02/03/2018,Study Protocol and Statistical Analysis Plan,"February 5, 2016",02/05/2018 08:24,
NCT02460172,11/02/2019,Study Protocol and Statistical Analysis Plan,"April 21, 2015",11/26/2018 15:47,
NCT02495779,26/03/2019,Study Protocol and Statistical Analysis Plan,"June 2, 2016",03/26/2019 10:18,
NCT02497937,07/08/2018,Study Protocol,"April 19, 2016",03/23/2018 01:33,
NCT02497937,07/08/2018,Statistical Analysis Plan,"October 18, 2017",06/21/2018 02:21,
NCT02518971,21/03/2019,Study Protocol and Statistical Analysis Plan,"November 8, 2018",03/13/2019 14:28,
NCT02523235,29/08/2019,Study Protocol and Statistical Analysis Plan,"July 22, 2019",07/23/2019 02:29,
NCT02523690,26/12/2019,Study Protocol and Statistical Analysis Plan,"February 10, 2017",12/24/2019 15:30,
NCT02547935,15/05/2019,Study Protocol,"September 18, 2017",05/15/2019 05:56,
NCT02547935,15/05/2019,Statistical Analysis Plan,"June 5, 2018",05/15/2019 05:56,
NCT02551770,16/10/2019,Study Protocol and Statistical Analysis Plan,"April 9, 2018",07/29/2019 15:08,
NCT02576938,16/02/2018,Statistical Analysis Plan,"January 11, 2017",02/15/2018 15:01,
NCT02576938,16/02/2018,Study Protocol: Protocol,"September 30, 2015",02/16/2018 07:22,
NCT02576938,16/02/2018,Study Protocol: Protocol Amendment (a),"October 23, 2015",02/16/2018 07:29,
NCT02576938,16/02/2018,Study Protocol: Protocol Amendment (b),"March 7, 2016",02/16/2018 07:30,
NCT02576938,16/02/2018,Study Protocol: Protocol Amendment (c),"May 25, 2016",02/16/2018 07:31,
NCT02576938,16/02/2018,Study Protocol: Protocol Amendment (d),"June 24, 2016",02/16/2018 07:32,
NCT02579421,19/06/2019,Study Protocol and Statistical Analysis Plan,"January 24, 2017",03/12/2019 12:43,
NCT02581930,21/12/2018,Study Protocol and Statistical Analysis Plan,"May 8, 2018",12/21/2018 11:00,
NCT02582749,17/06/2019,Study Protocol and Statistical Analysis Plan,"January 9, 2017",05/15/2019 13:51,
NCT02584855,25/10/2019,Statistical Analysis Plan: Statistical Analysis Plan V3,"October 25, 2018",10/21/2019 12:04,
NCT02584855,25/10/2019,Statistical Analysis Plan: Statistical Analysis Plan Blinding and Unblinding Plan V3,"October 27, 2017",10/21/2019 12:10,
NCT02584855,25/10/2019,Study Protocol,"March 21, 2017",10/21/2019 12:12,
NCT02586805,19/04/2018,Study Protocol: Original,"September 14, 2015",03/20/2018 03:59,
NCT02586805,19/04/2018,Study Protocol: Amendment 1,"December 14, 2015",03/20/2018 04:01,
NCT02586805,19/04/2018,Study Protocol: Amendment 2,"April 21, 2016",03/20/2018 04:02,
NCT02586805,19/04/2018,Study Protocol: Amendment 3,"January 9, 2017",03/20/2018 04:03,
NCT02586805,19/04/2018,Statistical Analysis Plan: Original,"May 24, 2016",04/19/2018 05:17,
NCT02586805,19/04/2018,Statistical Analysis Plan: Amendment 1,"May 3, 2017",04/19/2018 05:18,
NCT02592421,02/12/2019,Study Protocol and Statistical Analysis Plan,"September 6, 2017",12/02/2019 14:15,
NCT02600351,22/08/2018,Study Protocol: Original,"March 13, 2015",08/22/2018 20:57,
NCT02600351,22/08/2018,Study Protocol: Amendment 1,"June 12, 2015",08/22/2018 20:59,
NCT02600351,22/08/2018,Study Protocol: Amendment 2,"July 23, 2015",08/22/2018 21:00,
NCT02600351,22/08/2018,Statistical Analysis Plan,"March 28, 2017",08/22/2018 21:01,
NCT02606045,06/06/2018,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","March 19, 2018",06/06/2018 09:12,
NCT02607956,17/07/2019,Study Protocol: Original,"October 21, 2015",08/01/2018 14:36,
NCT02607956,17/07/2019,Study Protocol: Amendment 1,"February 19, 2016",08/01/2018 14:38,
NCT02607956,17/07/2019,Study Protocol: Amendment 2,"October 19, 2016",08/01/2018 14:39,
NCT02607956,17/07/2019,Statistical Analysis Plan,"May 10, 2017",08/01/2018 14:40,
NCT02607956,17/07/2019,Study Protocol: Amendment 3,"May 6, 2019",07/02/2019 14:44,
NCT02615535,19/11/2019,Study Protocol and Statistical Analysis Plan,"November 1, 2016",10/04/2019 10:03,
NCT02616783,31/01/2019,Study Protocol: Original,"July 22, 2015",01/03/2019 15:07,
NCT02616783,31/01/2019,Study Protocol: Amendment 1,"June 1, 2016",01/03/2019 15:08,
NCT02616783,31/01/2019,Statistical Analysis Plan,"May 24, 2018",01/03/2019 16:02,
NCT02624375,03/12/2019,Study Protocol and Statistical Analysis Plan,"October 16, 2015",11/12/2019 17:43,
NCT02642965,10/12/2019,Study Protocol and Statistical Analysis Plan,"February 22, 2018",11/07/2019 16:33,
NCT02652624,14/11/2019,Study Protocol: Original,"November 20, 2015",09/04/2018 16:32,
NCT02652624,14/11/2019,Study Protocol: Amendment 1,"June 30, 2016",09/04/2018 16:35,
NCT02652624,14/11/2019,Study Protocol: Amendment 2,"November 10, 2016",09/04/2018 16:35,
NCT02652624,14/11/2019,Statistical Analysis Plan: Week 48 Statistical Analysis Plan,"October 19, 2017",09/04/2018 16:36,
NCT02652624,14/11/2019,Statistical Analysis Plan: Final Statistical Analysis Plan,"December 21, 2018",10/03/2019 14:32,
NCT02654782,25/03/2019,Study Protocol and Statistical Analysis Plan,"June 29, 2015",11/16/2018 11:04,
NCT02657928,16/10/2019,Study Protocol and Statistical Analysis Plan,"March 14, 2019",09/20/2019 11:34,
NCT02662764,06/08/2018,Statistical Analysis Plan,"June 10, 2017",04/09/2018 17:58,
NCT02662764,06/08/2018,Informed Consent Form,"January 19, 2016",04/10/2018 10:45,
NCT02662764,06/08/2018,Study Protocol,"January 13, 2016",04/11/2018 11:37,
NCT02668952,15/02/2018,Study Protocol and Statistical Analysis Plan,"December 7, 2015",02/14/2018 12:16,
NCT02670551,10/01/2019,Study Protocol,"February 17, 2016",01/10/2019 17:31,
NCT02670551,10/01/2019,Statistical Analysis Plan,"November 29, 2017",01/10/2019 17:31,
NCT02675426,13/09/2019,Study Protocol,"October 26, 2017",09/13/2019 15:47,
NCT02675426,13/09/2019,Statistical Analysis Plan,"April 14, 2017",09/13/2019 15:47,
NCT02685293,12/08/2019,Study Protocol and Statistical Analysis Plan,"September 26, 2016",08/12/2019 14:52,
NCT02709369,11/12/2019,Study Protocol and Statistical Analysis Plan,"April 20, 2017",12/06/2019 09:48,
NCT02713542,19/07/2019,Study Protocol and Statistical Analysis Plan,"January 16, 2017",07/12/2019 11:12,
NCT02722044,30/04/2018,Study Protocol,"August 26, 2016",03/29/2018 10:12,
NCT02722044,30/04/2018,Statistical Analysis Plan,"October 19, 2016",03/29/2018 10:13,
NCT02736890,05/04/2019,Study Protocol,"December 29, 2015",02/02/2019 09:32,
NCT02736890,05/04/2019,Statistical Analysis Plan,"December 29, 2015",02/02/2019 09:33,
NCT02747186,28/11/2018,Study Protocol and Statistical Analysis Plan,"April 21, 2016",10/03/2018 09:33,
NCT02750306,25/09/2019,Study Protocol and Statistical Analysis Plan,"June 2, 2017",09/25/2019 15:55,
NCT02782325,23/04/2019,Study Protocol and Statistical Analysis Plan,"October 30, 2017",02/12/2019 17:39,
NCT02799784,09/02/2018,Study Protocol,"March 29, 2016",01/24/2018 22:56,
NCT02799784,09/02/2018,Statistical Analysis Plan,"May 26, 2017",01/24/2018 22:58,
NCT02813551,21/03/2019,Study Protocol and Statistical Analysis Plan,"June 23, 2016",07/27/2018 17:40,
NCT02838420,09/07/2019,Study Protocol,"March 23, 2017",05/29/2019 12:24,
NCT02838420,09/07/2019,Statistical Analysis Plan,"August 8, 2018",05/29/2019 12:24,
NCT02845674,12/12/2018,Study Protocol,"March 23, 2017",11/14/2018 07:38,
NCT02845674,12/12/2018,Statistical Analysis Plan,"October 10, 2017",11/14/2018 07:39,
NCT02847650,14/01/2019,Study Protocol,"July 20, 2016",12/18/2018 11:57,
NCT02847650,14/01/2019,Statistical Analysis Plan,"August 4, 2016",12/18/2018 11:57,
NCT02868892,31/10/2018,Study Protocol and Statistical Analysis Plan,"March 29, 2016",10/31/2018 12:34,
NCT02885181,21/08/2018,Study Protocol: Original,"April 8, 2016",07/18/2018 11:41,
NCT02885181,21/08/2018,Study Protocol: Amendment 1,"June 27, 2016",07/18/2018 11:42,
NCT02885181,21/08/2018,Study Protocol: Amendment 2,"July 11, 2016",07/18/2018 11:43,
NCT02885181,21/08/2018,Statistical Analysis Plan,"October 26, 2017",07/18/2018 11:44,
NCT02945657,14/11/2018,Statistical Analysis Plan,"May 18, 2017",10/16/2018 15:12,
NCT02945657,14/11/2018,Study Protocol,"January 30, 2017",10/16/2018 15:25,
NCT02949921,13/03/2019,Statistical Analysis Plan,"April 14, 2017",12/27/2018 08:50,
NCT02949921,13/03/2019,Study Protocol,"December 13, 2016",12/27/2018 08:55,
NCT02952898,09/01/2019,Study Protocol,"January 26, 2017",08/24/2018 17:19,
NCT02952898,09/01/2019,Statistical Analysis Plan,"March 14, 2017",08/24/2018 17:20,
NCT02964247,19/06/2019,Study Protocol,"September 26, 2018",05/07/2019 06:42,
NCT02964247,19/06/2019,Statistical Analysis Plan,"September 26, 2018",05/07/2019 06:43,
NCT02969356,16/05/2019,Study Protocol,"January 24, 2018",05/07/2019 00:29,
NCT02969356,16/05/2019,Statistical Analysis Plan,"October 5, 2018",05/07/2019 00:30,
NCT02981524,16/09/2019,Study Protocol and Statistical Analysis Plan,"January 17, 2018",08/13/2019 14:23,
NCT02992288,19/04/2019,Statistical Analysis Plan,"May 29, 2018",03/11/2019 23:10,
NCT02992288,19/04/2019,Study Protocol,"February 17, 2017",03/11/2019 23:10,
NCT03002623,18/12/2018,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","November 13, 2017",02/21/2018 08:45,
NCT03004924,24/10/2019,Study Protocol: Protocol,"September 27, 2016",09/23/2019 05:48,
NCT03004924,24/10/2019,Study Protocol: Amendment 1,"November 28, 2016",09/23/2019 05:49,
NCT03004924,24/10/2019,Study Protocol: Amendment 2,"February 15, 2017",09/23/2019 05:56,
NCT03004924,24/10/2019,Study Protocol: Amendment 3,"December 13, 2017",09/23/2019 05:58,
NCT03004924,24/10/2019,Study Protocol: Amendment 4,"July 31, 2018",09/23/2019 06:50,
NCT03004924,24/10/2019,Statistical Analysis Plan,"November 8, 2018",09/23/2019 06:51,
NCT03012191,22/07/2019,Study Protocol,"March 2, 2017",07/22/2019 14:49,
NCT03012191,22/07/2019,Statistical Analysis Plan,"March 2, 2017",07/22/2019 14:51,
NCT03021187,15/10/2019,Study Protocol,"February 8, 2019",10/15/2019 06:31,
NCT03021187,15/10/2019,Statistical Analysis Plan,"February 8, 2019",10/15/2019 06:31,
NCT03034915,16/06/2019,Study Protocol,"April 18, 2017",06/03/2019 07:48,
NCT03034915,16/06/2019,Statistical Analysis Plan,"July 18, 2018",06/03/2019 07:52,
NCT03036852,05/11/2019,Study Protocol,"March 2, 2017",07/09/2019 19:10,
NCT03036852,05/11/2019,Statistical Analysis Plan,"September 5, 2018",07/09/2019 19:10,
NCT03044197,18/04/2019,Study Protocol and Statistical Analysis Plan,"December 11, 2017",04/18/2019 18:19,
NCT03050775,03/05/2018,Study Protocol and Statistical Analysis Plan,"October 26, 2015",03/23/2018 11:29,
NCT03066622,01/08/2019,Study Protocol and Statistical Analysis Plan,"November 11, 2016",08/01/2019 12:23,
NCT03091439,27/08/2018,Study Protocol and Statistical Analysis Plan,"February 17, 2017",08/27/2018 14:00,
NCT03092726,06/03/2019,Study Protocol,"August 14, 2017",03/05/2019 19:25,
NCT03092726,06/03/2019,Statistical Analysis Plan,"April 19, 2018",03/05/2019 19:26,
NCT03127956,01/02/2019,Study Protocol,"April 24, 2017",11/19/2018 16:13,
NCT03127956,01/02/2019,Statistical Analysis Plan,"April 10, 2018",11/19/2018 16:14,
NCT03131687,31/07/2019,Study Protocol,"November 28, 2017",07/31/2019 12:19,
NCT03131687,31/07/2019,Statistical Analysis Plan,"March 26, 2018",07/31/2019 12:25,
NCT03139240,26/07/2019,Study Protocol and Statistical Analysis Plan,"December 20, 2017",06/25/2019 12:49,
NCT03139578,10/12/2018,Study Protocol and Statistical Analysis Plan,"March 14, 2017",10/18/2018 04:14,
NCT03146741,27/11/2018,Study Protocol and Statistical Analysis Plan,"June 9, 2017",10/10/2018 09:57,
NCT03158220,04/11/2019,Study Protocol and Statistical Analysis Plan,"March 15, 2017",11/04/2019 16:04,
NCT03170609,13/06/2019,Study Protocol,"August 29, 2017",06/13/2019 10:37,
NCT03170609,13/06/2019,Statistical Analysis Plan,"February 7, 2018",06/13/2019 10:37,
NCT03192020,26/04/2018,Study Protocol,"March 28, 2018",04/25/2018 07:59,
